nama,address,phone,up,fax
,,,,
Abadi Electric,,021 624 5563,,
ABADI ELECTRICT,"Gedung glodok jaya Lt.dasar, A/16",021 624 5563,,
Abadi Jaya,"Pertokoan HWI, lt.dasar, B/8",021 624 6124,,
Abadi Jaya Makmur,Kmp Pertokoan glodok jaya A/58,021 629 8008,,
"Abadi Teknik Safety, CV",,021 9732 5746,,021 888 600 17
Abditama Official (Tokopedia),,,,
AC Wahana,Rukan Dalton Timur No. 66,021599932,,
ACE Hardware,Jl. panglima Polim,,,
ACE Hardware,Jl. Radio Dalam-Jakarta Selatan,021 7280 0707,,
ACE Hardware - Gandaria City,Gandaria - Keb. baru - Jakarta Selatan,,,
ACE HardWare GajahMada,Jl. Gajah Mada,,,
Ace Hardware Makasar,Makasar,021 7280 0707,,
Adhi Makmur,LTC Glodok Lt.GF1 C1/6,021 6230 7673,,021 2962 4988
Adhi Prima,"Jl. Raya Mauk Km 7 Kp. Cadas, Desa karet Sepatan",02159370980,,
Aegis Offical Store,"Soekarno Hatta 134, Cirebon",,,
AHAAS Honda,,,,
Ahli Kunci,,,,
Akrilik Display,Ciputat,,,
Akrilik Display,Ruko Ciputat Mega mall Ciputat,021 2279 4331,,
Aksel Florist,Medan,0812 6396 2998,Bp Herman,
Alicia Florist,Jl. Pramuka VI Komp.P&K Blok E1 no.41 Samarinda,0812 3454 0602,,
Aliexpress,,,,
Altius Tech,LTC lt 1 blok C23 No 5,021- 62310527,,
"Amen Paint Swadana, PT",Jl. Gajah Mada No.43,021 634 3701,,
Amir Electric,Jl Kerinci VII blok B No 66 Kebayoran baru Jaksel,0821 1452 7957,,
Amway Promise,Tower EightyEight @ Kasablanka Lt. 23,02157980800,,
Andala Auto Care,Jl Radio Dalam No. F1 RT 05/RW 04,08111012427,,
Andalas Clothing, jl tanjung duren raya no 13A Jakarta barat,087875200077,,
Andries Molding,"Ds. Gunung Sari, Bogor",08128149154,,
Aneka Irama,Glodok plaza blok H no 9,6248963,pak ari,
Aneka Plastik,komplek taman duta mas blokA2 No5,021-5678124,Bp. Edwin,
Aneka Suara,Cikupa,,,
Anugerah Print Shop,Jl Poltangan Raya No 17 Pejaten JakSel,0878 8831 5531,,
Anugerah Printshop,,,,
Anugerah Printshop,"Jalan Poltangan Raya No.17 Pejaten Timur, Jakarta Selartan",087888315531,,
Anugerah Printshop,Jl. Poltangan Raya No.17 JakSel,021 27808047,,
Anugerah Printshop,Jl.Poltngan raya No.17 Pejaten,087888315531,,
Apotek K-24 Sawah Besar,Jl. Sukarjo Suryopranoto No.57B JakPus,021 612 0809,,
Apotek Puji,"Jl. Biak No.45, RT.1/RW.5, Cideng",6281910010017,,
Apotik Kawi Jaya,,021 726 1412,,
Arta Mas Abadi,Glodok Makmur Lt.2 No.251,021 639 9228,,
Arta Mas Abadi,Glodok Makmur Lt.2 No.251,021 6399 228,,
"Artha Kharisma, CV",Jl. KH. Zainul Arifin No.71 Jakarta Pusat,021 3171 7113,Bp. Johanes,021 6385 9931
Asiti Indonesia,"Jl Melati Raya No 68, Batuceper",55770863,,
Astra BMW Serpong,,,,
Astro 1,Jl. Sawah Besar 2 No.5B JakBar,021 625 4778,,021 624 1883
Badan Meteorologi,Cikupa,,,
Badan Pajak dan Retribusi Daerah,Jl Abdul Muis no 66 Jakarta,3865580,,
Baja Electric,"Pasar Kenari Lt. dasar AKS 71-72, Jl. Salemba Raya JakPus",021 3193 0461,,
Bambang,,021 350 5093,,
Batteray center,Jl. LTC GF 1 BLOK A9 NO 5,62201693,,
Batteray centre,LTC GF 1 blok A9 no 5,62201693,,
Bebek Kaleyo,,,,
Beltraco,Jl Taman sari raya no 22,021 649 6828,,
Beltraco,Taman Sari Raya No 22,6496828,,
Ben Geliz,"Ciputat,Tangerang Selatan",,,
beng electronic,Ltc glodok,,,
Bengkel F8,Jagakarsa,,,
Bengkel Motor Dos Roka,Rawa Buaya - cengkareng,,,
Bengkel Radio Dalam,,,,
Berkah Jaya Film,,,,
Berkat Jaya Mandiri,"Harco Glodok 
GF 2 Blok A/15",6285770015891,,
Berkat Jaya Packing,,081210668835,,
Berkat jaya packing,glodok jaya,081210668835,,
Best Electronik,Glodok Harco,021 629 9307,,
Betawi Majun,Jl. Krendang Selatan 1 No.32 Duri Utara,021 638 57 991,,
Bibit Harapan,,,,
Bima Sakti,Glodok Jaya B 35 Jakarta,021 6281019,Bp Supri,
Bima Sakti,Glodok Jaya B/35,021 628 1025,,
Bina Unggul,Glodok Jaya Building Lt.1/A28-29,021 626 1143,,
Bintang Timur,"Jl, Bungur Besar raya no 41",021-4219428,,
Bintang Timur,Jl. Bungur Besar Raya No.41,021 4219 428,Bp. Anthony,
Bos Promosi Indonesia,"Taman Kedoya Baru Jl Kedoya Agave II, C7/17",628119992522,,
Bosch (Shopee),,,,
Bp Faris,,,,
"Bp, Dodi",,08151179963,,
BREGAS,"Jl. Jatiroto 1 B6 No. 140C Jaticempaka, Pd. Gede, Bekasi",089522230000,,
Bringin,,021 581 3445,,
Buana Teknik,LTC Glodok GF1 Blok A2 No. 31,+62 815-1033-3440,,
Buana Tunggal,,,,
Buana Tunggal,LTC Lantai UG Blok. B3 No. 7-8,02162201083,,6293225
Buana Tunggal,LTC lt UG Blok B3 No 7-8,021- 6220-1083,,021- 629-3225
Bucket & CLo Bandung,"Jl. Dalem Kaum No.54, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",081223338987,Evrinaldo,
Budi Mulia,Jl. Mangga Besar VI Selatan No 49,021- 6498437,,
Budi Mulia,Pasar mobil kemayoran blok S no 111,021- 6543704,,
Budi Mulia,Pasar Mobil kemyoran Blok S No. 111,6543702,Budiyanto,
Budi Rooling Door,Jl BRi Ps Inpress No18 Kebayoran baru Jak Sel,085774080356,,
Budi Teknik,Jl. Kramat Raya 101 Lantai Ground Blok D/110 Kenari-Jakpus,021 398 42 745,Ibu Lia,
Bukalapak,,,,
Bunga Florist,,0813 1137 9872,Miss Azizah,
Bunga Sragen,,0823 4023 58020,,
Bursa Mebel,Plaza Dbest Carefour Jl MH Thamrin Cikokol - Tangerang,021 5696 9424,,021 5633 545
Bursa Mebel,Plaza Dbest Carefour Jl MH Thamrin Cikokol - Tangerang,021 5696 9424,Miss Elin,021 5633 545
Cahaya Abadi,Pertokoan Glodok Jaya Lt.dasar Blok.A 38/81,021 6597788,,
Cahaya Abadi,Pertokoan HWI LTC Blok. B10 -11-41,021 624 3194,,
Cahaya Baru,LTC 6F2B8 no 6,6260759,Ibu Aling,
Cahaya Bintang Electrindo,Gd. Kenari Mas Lt.Ground D/140,021 398 45803,,
Cahaya Bintang Plastik,Gd. Pasar Pagi Mangga Dua,021-6015861,,
Cahaya Elektrik,Tanjung Duren Raya 7B,56968916,,
Cahaya Eletrik,Tanjung Duren Raya 7B,56968916,,
Cahya & Embun Florist,Bogor,,,
"Caltesys Indonesia, PT","Perkantoran Puri Niaga 2, Jl. Puri Kencana B1 J1/2 Puri Kembangan - Jakarta Barat",021 582 6882,Miss Rina - Marketing,021 582 6881
Cash,,,,
cash,,,Ahmad Fahri,
Cash,,,Ibu Sri,
cash,Cikupa,,Ahmad Fahri,
Cash,Jembatan 5,,,
Cash,Jembatan Lima,,,
Cash,Jl RS fatmawati no 39 Jakarta Selatan,08159165009,,
Cash,Jl. Taman Sari,,,
Cash Asam Reges,,,,
Cash Cikupa,,,,
Cash Glodok,,,,
Cash jembatan lima,,,,
Cash Ps Jembatan lima,,,,
Cash Ps Jembatan lima,Glodok,,,
Cash Radio dalam,,,,
Cash Toko Bangunan,Pembangunan,,,
Cash Toko Bangunan,Radio Dalam,,,
Cash Yamaha,,,,
Cemerlang,P. senen Blok II no 61 - 62,4210737,,
"Central Fastindo Sentosa, PT","komplek pertokoan glodok jaya, C-20",021 625 6868,,
Central Jaya,,,,
Central Tehnik,Jl Kerajinan W 1/2,6324957,,
Century Ban,"Jl. Lapangan Bola No.49 2 10 2, RT.2/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",0215323590,,
Century Motor,Jl. kebon jeruk III no 47,6826087,,6391523
Champion Motor,Jl Sukarjo Wiryopranoto No 12 A Sawah besar,081808782555,Bp William,
Champion Motor Nissan,Krekot Jaya Molek Blok AE 8,3518522,,
Champion Motor Nissan,Krekot Jaya Molek Blok AE 8,3518522,Pak Pendy,
Changhong Electrict Indonesia,Komp Agung Sedayu (Harco Mangga Dua) Blok J / No.39-40,021 600 6969 # 15,Bu Muhani,
Changhong Service Center,Komp Agung Sedayu (Harco Mangga Dua) Blok J / No.39-40,021 600 6969 # 15,Bu Muhani,
Cipta Abadi,Ltc Glodok lt 2 Blok C 27 no 9,6232234,,62202191
Cipta Abadi,Ltc Lt 2 Blok C 27 no 9,62320234,,
Cipta Abadi,Ltc Lt 2 blok C 27 no 9,62320234 - 62202191,,
